symbol,window_index,p99_upper,p95_upper,p90_upper,placebo_mean,p90_lower,p95_lower,p99_lower,n,actual_median_abs_price_change
DFII20,5,0.19999999999999996,0.17999999999999972,0.16999999999999982,0.12455999999999999,0.08499999999999996,0.07999999999999974,0.06500000000000006,5000,0.10999999999999988
DFII20,6,0.19999999999999996,0.18499999999999972,0.17499999999999982,0.126192,0.08000000000000007,0.07000000000000028,0.06000000000000005,5000,0.1399999999999999
DFII20,7,0.20000000000000018,0.18512499999999832,0.17999999999999994,0.12364900000000001,0.08499999999999996,0.07999999999999985,0.06000000000000005,5000,0.1399999999999999
DFII20,8,0.20500000000000007,0.18500000000000005,0.17500000000000004,0.12839899999999999,0.08000000000000007,0.07500000000000018,0.06000000000000005,5000,0.1499999999999999
DFII20,9,0.21000000000000008,0.18999999999999995,0.18000000000000016,0.13522,0.08999999999999997,0.08000000000000007,0.06499999999999995,5000,0.1299999999999999
DFII20,10,0.21499999999999986,0.19012499999999855,0.18500000000000005,0.13924399999999998,0.0900000000000003,0.08499999999999985,0.07000000000000006,5000,0.16000000000000014
DFII20,11,0.21999999999999997,0.20000000000000007,0.1900000000000004,0.142394,0.09499999999999975,0.08499999999999996,0.07499999999999996,5000,0.1499999999999999
DFII20,12,0.235,0.20999999999999996,0.19999999999999984,0.144062,0.09000000000000019,0.08500000000000008,0.07500000000000018,5000,0.14000000000000012
DFII20,13,0.23502500000000062,0.20999999999999996,0.20000000000000007,0.147504,0.09999999999999987,0.09000000000000008,0.07499999999999996,5000,0.14000000000000012
DFII20,14,0.24499999999999988,0.21999999999999975,0.20000000000000018,0.149762,0.09999999999999998,0.09000000000000008,0.08000000000000007,5000,0.1200000000000001
DFII20,15,0.2499999999999999,0.22000000000000008,0.20999999999999996,0.154303,0.10499999999999976,0.09999999999999964,0.08000000000000007,5000,0.16000000000000014
DFII30,-15,0,0,0,0,0,0,0,5000,0
DFII30,-14,0.04999999999999982,0.040000000000000036,0.040000000000000036,0.029418,0.020000000000000018,0.020000000000000018,0.019999999999999796,5000,0.0299999999999998
DFII30,-13,0.06999999999999984,0.06000000000000005,0.06000000000000005,0.04227700000000001,0.029999999999999805,0.029999999999999805,0.020000000000000018,5000,0.04000000000000003
DFII30,-12,0.07999999999999985,0.07000000000000006,0.06999999999999984,0.04817300000000002,0.030000000000000027,0.029999999999999805,0.020000000000000018,5000,0.05000000000000026
DFII30,-11,0.08999999999999986,0.08000000000000007,0.07499999999999996,0.05533100000000001,0.039999999999999925,0.03000000000000025,0.029999999999999916,5000,0.04000000000000003
DFII30,-10,0.09500000000000008,0.08500000000000019,0.08000000000000007,0.062647,0.040000000000000036,0.040000000000000036,0.03000000000000025,5000,0.04999999999999982
DFII30,-9,0.10499999999999998,0.09000000000000008,0.08999999999999986,0.06724400000000001,0.04999999999999982,0.04499999999999993,0.03500000000000014,5000,0.07000000000000028
DFII30,-8,0.11499999999999988,0.10499999999999998,0.10000000000000009,0.072603,0.050000000000000044,0.04999999999999982,0.040000000000000036,5000,0.08000000000000007
DFII30,-7,0.1200000000000001,0.10999999999999988,0.10000000000000009,0.07847400000000002,0.050000000000000155,0.04500000000000004,0.040000000000000036,5000,0.10000000000000007
DFII30,-6,0.1299999999999999,0.11999999999999988,0.1100000000000001,0.08169100000000003,0.05499999999999994,0.04999999999999993,0.040000000000000036,5000,0.0900000000000003
