symbol,window_index,p99_upper,p95_upper,p90_upper,placebo_mean,p90_lower,p95_lower,p99_lower,n,actual_median_price_change
DFII30,-4,0.09000000000000008,0.07499999999999996,0.06499999999999995,0.015425999999999999,-0.03500000000000014,-0.050000000000000044,-0.06999999999999984,5000,0.0299999999999998
DFII30,-3,0.09499999999999986,0.07500000000000007,0.06500000000000006,0.01708300000000002,-0.039999999999999813,-0.04999999999999982,-0.07000000000000006,5000,0
DFII30,-2,0.09000000000000008,0.07999999999999974,0.06999999999999984,0.01507900000000001,-0.039999999999999813,-0.04500000000000004,-0.07000000000000006,5000,-0.04999999999999982
DFII30,-1,0.0950000000000002,0.07999999999999985,0.06999999999999984,0.015582999999999996,-0.039999999999999925,-0.04500000000000004,-0.07000000000000006,5000,-0.06000000000000005
DFII30,0,0.10000000000000009,0.07999999999999985,0.06999999999999995,0.018161,-0.040000000000000036,-0.04999999999999982,-0.06499999999999995,5000,-0.06999999999999984
DFII30,1,0.09999999999999987,0.07999999999999996,0.07000000000000006,0.017466000000000006,-0.040000000000000036,-0.050000000000000044,-0.07000000000000006,5000,-0.06000000000000005
DFII30,2,0.10999999999999988,0.08499999999999996,0.07999999999999985,0.015927,-0.040000000000000036,-0.050000000000000266,-0.07500000000000018,5000,-0.06999999999999984
DFII30,3,0.11499999999999999,0.09000000000000008,0.07999999999999996,0.016603,-0.040000000000000036,-0.050000000000000044,-0.06500000000000006,5000,-0.0950000000000002
DFII30,4,0.1299999999999999,0.10000000000000009,0.08000000000000007,0.016562000000000004,-0.04000000000000004,-0.050000000000000044,-0.07000000000000017,5000,-0.07499999999999996
DFII30,5,0.13000000000000012,0.10000000000000009,0.08499999999999996,0.018068000000000004,-0.040000000000000036,-0.050000000000000266,-0.07000000000000028,5000,-0.08000000000000007
DFII30,6,0.1300250000000009,0.10512499999999828,0.09000000000000008,0.019307,-0.03999999999999982,-0.04500000000000015,-0.06999999999999984,5000,-0.050000000000000044
DFII30,7,0.135,0.10999999999999999,0.0900000000000003,0.020129999999999988,-0.03499999999999992,-0.04999999999999982,-0.07000000000000028,5000,-0.02500000000000013
DFII30,8,0.1399999999999999,0.11512499999999838,0.10000000000000009,0.020440999999999983,-0.039999999999999925,-0.04999999999999982,-0.06502500000000017,5000,-0.00999999999999978
DFII30,9,0.1499999999999999,0.1200000000000001,0.10000000000000009,0.02355999999999999,-0.040000000000000036,-0.050000000000000044,-0.06999999999999984,5000,-0.02000000000000001
DFII30,10,0.1500250000000009,0.125,0.10499999999999998,0.025551999999999988,-0.03999999999999959,-0.050000000000000044,-0.07502500000000016,5000,-0.04000000000000003
DFII30,11,0.1599999999999997,0.13,0.10999999999999988,0.025236999999999975,-0.040000000000000036,-0.050000000000000044,-0.07002500000000006,5000,-0.01000000000000023
DFII30,12,0.1600250000000007,0.1299999999999999,0.1100000000000001,0.025944999999999985,-0.040000000000000036,-0.04999999999999982,-0.07000000000000006,5000,-0.06000000000000005
DFII30,13,0.16999999999999993,0.13000000000000012,0.10999999999999988,0.029067999999999983,-0.040000000000000036,-0.050000000000000044,-0.07500000000000018,5000,-0.06000000000000005
DFII30,14,0.16999999999999982,0.1200000000000001,0.10999999999999999,0.032614999999999984,-0.03500000000000004,-0.04999999999999982,-0.08000000000000007,5000,-0.06999999999999984
DFII30,15,0.16500000000000015,0.1349999999999999,0.11999999999999988,0.033470999999999994,-0.03000000000000025,-0.040000000000000036,-0.07499999999999996,5000,-0.05000000000000026
DFII5,-15,0,0,0,0,0,0,0,5000,0
DFII5,-14,0.030000000000000027,0.020000000000000018,0.020000000000000018,4.740000000000016e-4,-0.020000000000000018,-0.020000000000000018,-0.030000000000000027,5000,0.02000000000000001
DFII5,-13,0.04499999999999993,0.030000000000000027,0.029999999999999805,-0.002518999999999998,-0.030000000000000027,-0.03000000000000025,-0.04002500000000014,5000,0.02000000000000001
DFII5,-12,0.050000000000000266,0.040000000000000036,0.03500000000000003,5.379999999999912e-4,-0.03500000000000003,-0.04499999999999993,-0.06000000000000005,5000,0.03000000000000025
DFII5,-11,0.06000000000000005,0.04999999999999982,0.040000000000000036,0.0021629999999999952,-0.040000000000000036,-0.050000000000000044,-0.06999999999999995,5000,0.01
DFII5,-10,0.06999999999999984,0.050000000000000044,0.04499999999999993,0.0010049999999999864,-0.04499999999999993,-0.050000000000000044,-0.06999999999999995,5000,0
DFII5,-9,0.07000000000000006,0.05500000000000005,0.04500000000000004,-0.001162000000000004,-0.04999999999999982,-0.05500000000000016,-0.08000000000000007,5000,0.02000000000000001
DFII5,-8,0.07000000000000006,0.05499999999999994,0.04499999999999993,-0.004823000000000005,-0.05500000000000005,-0.06999999999999984,-0.08000000000000007,5000,0.04000000000000003
DFII5,-7,0.07999999999999985,0.06000000000000005,0.050000000000000044,-0.008279000000000007,-0.06000000000000005,-0.07000000000000006,-0.09499999999999997,5000,0
DFII5,-6,0.07999999999999996,0.05999999999999994,0.04999999999999993,-0.009266999999999996,-0.06499999999999995,-0.07499999999999984,-0.09000000000000008,5000,-0.01
DFII5,-5,0.09000000000000008,0.06999999999999984,0.050000000000000044,-0.009892000000000003,-0.06499999999999995,-0.07999999999999996,-0.09500000000000008,5000,-0.02000000000000001
DFII5,-4,0.09000000000000008,0.06999999999999984,0.05499999999999983,-0.008336000000000001,-0.07000000000000006,-0.08499999999999985,-0.1050000000000001,5000,0.01
DFII5,-3,0.09999999999999998,0.06500000000000006,0.050000000000000266,-0.009071999999999995,-0.07000000000000019,-0.08999999999999986,-0.11499999999999988,5000,0.01999999999999979
DFII5,-2,0.10502500000000052,0.07999999999999996,0.06000000000000005,-0.010725000000000002,-0.08000000000000007,-0.09000000000000019,-0.11499999999999988,5000,-0.04000000000000003
DFII5,-1,0.1100000000000001,0.08499999999999996,0.06999999999999984,-0.013404000000000003,-0.08999999999999986,-0.09999999999999987,-0.11499999999999988,5000,-0.08000000000000007
DFII5,0,0.1100000000000001,0.08499999999999996,0.07499999999999996,-0.014024000000000003,-0.08999999999999997,-0.09999999999999998,-0.11999999999999988,5000,-0.07000000000000006
DFII5,1,0.12002500000000065,0.09000000000000008,0.07499999999999996,-0.015769000000000002,-0.09000000000000008,-0.10499999999999998,-0.12499999999999989,5000,-0.10000000000000007
DFII5,2,0.1299999999999999,0.09000000000000008,0.07499999999999996,-0.014847,-0.09500000000000008,-0.1100000000000001,-0.14,5000,-0.1200000000000001
DFII5,3,0.135,0.10000000000000009,0.07999999999999996,-0.013609999999999997,-0.10000000000000009,-0.11499999999999999,-0.14000000000000012,5000,-0.11999999999999988
DFII5,4,0.1399999999999999,0.10499999999999998,0.08000000000000007,-0.014220000000000007,-0.10499999999999989,-0.11999999999999988,-0.14500000000000002,5000,-0.07999999999999985
DFII5,5,0.13,0.10499999999999987,0.07000000000000028,-0.011078000000000008,-0.09999999999999998,-0.1150000000000001,-0.15500000000000003,5000,-0.08499999999999996
DFII5,6,0.1349999999999999,0.09999999999999987,0.08000000000000007,-0.008372000000000008,-0.09499999999999988,-0.10999999999999988,-0.15002500000000013,5000,-0.04499999999999993
DFII5,7,0.1349999999999999,0.09999999999999998,0.08000000000000007,-0.005992000000000007,-0.09499999999999997,-0.11499999999999988,-0.15000000000000002,5000,-0.06999999999999995
