symbol,window_index,p99_upper,p95_upper,p90_upper,placebo_mean,p90_lower,p95_lower,p99_lower,n,actual_median_abs_price_change
DFII30,-3,0.16500000000000015,0.1499999999999999,0.14000000000000012,0.10245299999999999,0.06000000000000005,0.05000000000000026,0.04000000000000003,5000,0.11499999999999999
DFII30,-2,0.17000000000000015,0.1599999999999997,0.1449999999999999,0.101254,0.06000000000000027,0.05500000000000005,0.04000000000000003,5000,0.10000000000000007
DFII30,-1,0.17499999999999982,0.15999999999999992,0.1499999999999999,0.104018,0.06499999999999995,0.06000000000000005,0.04999999999999982,5000,0.125
DFII30,0,0.18999999999999995,0.16500000000000004,0.15000000000000036,0.108995,0.06499999999999995,0.05500000000000016,0.04500000000000015,5000,0.1050000000000001
DFII30,1,0.19999999999999973,0.17999999999999972,0.16500000000000004,0.11092800000000001,0.06999999999999984,0.06000000000000005,0.05000000000000004,5000,0.15500000000000003
DFII30,2,0.19499999999999995,0.17999999999999972,0.16500000000000015,0.11601200000000002,0.07500000000000018,0.06999999999999995,0.05000000000000004,5000,0.1349999999999998
DFII30,3,0.21000000000000008,0.18499999999999991,0.17000000000000015,0.12115600000000001,0.07000000000000006,0.06499999999999995,0.05500000000000005,5000,0.13000000000000012
DFII30,4,0.2100000000000002,0.19999999999999973,0.18000000000000005,0.12418600000000002,0.08000000000000007,0.07000000000000006,0.06000000000000005,5000,0.10999999999999988
DFII30,5,0.21999999999999997,0.20000000000000007,0.19000000000000009,0.13006500000000001,0.07500000000000007,0.06999999999999984,0.05999999999999961,5000,0.0950000000000002
DFII30,6,0.2300000000000002,0.20000000000000015,0.19000000000000009,0.13388300000000003,0.07000000000000028,0.06999999999999984,0.05000000000000026,5000,0.1399999999999999
DFII30,7,0.23499999999999976,0.21499999999999997,0.19999999999999996,0.13320500000000002,0.08000000000000007,0.07500000000000007,0.06000000000000005,5000,0.16500000000000015
